id,word,html,description,pronounce
19482,sạp,"<h1>sạp</h1><ul><li>Sitting floor<ul style=""list-style-type:circle""><li>Ngồi trong sạp thuyền cho đỡ gió:<i>To sit on the floor of the boat's covered hold to be sheltered from the wind</i>-Goods stall<br/>-Bamboo pole dance<br/></li></ul></li></ul>",Sitting floor,
19483,sát,"<h1>sát</h1><h2>verb, adj</h2>-be very close to, adjoining<br/>","verb, adj: ",
19484,sát cánh,<h1>sát cánh</h1><h2>verb</h2><ul><li>to stand work. side by side elbow to elbow</li></ul>,verb: to stand work. side by side elbow to elbow,
19485,sát hạch,"<h1>sát hạch</h1><h2>verb</h2>-to examine, to test<br/>",verb: ,
19486,sát hại,"<h1>sát hại</h1><h2>verb</h2><ul><li>to murder, to assassinate, to kill</li></ul>","verb: to murder, to assassinate, to kill",
19487,sát hợp,"<h1>sát hợp</h1><ul><li>Appropriate<ul style=""list-style-type:circle""><li>Biện pháp sát hợp:<i>Appropriate measure</i></li></ul></li></ul>",Appropriate,
19488,sát khí,<h1>sát khí</h1><h2>noun</h2><ul><li>murderous air look</li></ul>,noun: murderous air look,
19489,sát khuẩn,<h1>sát khuẩn</h1><ul><li>Antiseptic</li></ul>,Antiseptic,
19490,sát nách,"<h1>sát nách</h1><ul><li>Side by side, next-door<ul style=""list-style-type:circle""><li>Hàng xóm sát nách:<i>Next-door neighbour</i></li></ul></li></ul>","Side by side, next-door",
19491,sát nhân,"<h1>sát nhân</h1><h2>adj</h2><ul><li>murderous<ul style=""list-style-type:circle""><li>kẻ sát nhân:<i>murderer</i></li></ul></li></ul>",adj: murderous,
19492,sát nhập,<h1>sát nhập</h1><ul><li>xem sáp nhập</li></ul>,xem sáp nhập,
19493,sát phạt,<h1>sát phạt</h1><ul><li>Be bent on winning at any costs (at a gambling table)</li></ul>,Be bent on winning at any costs (at a gambling table),
19494,sát sao,"<h1>sát sao</h1><ul><li>Close<ul style=""list-style-type:circle""><li>Theo dỏi sát sao mọi công việc trong nhà máy:<i>To follow closely every work in the factory</i></li></ul></li></ul>",Close,
19495,sát sạt,<h1>sát sạt</h1><h2>adjective</h2>-very close<br/>,adjective: ,
19496,sát sinh,"<h1>sát sinh</h1><h2>verb</h2><ul><li>to slaughter, to butcher</li></ul>","verb: to slaughter, to butcher",
19497,sát sườn,"<h1>sát sườn</h1><ul><li>Close to one, directly concerning (affecting) one</li></ul>","Close to one, directly concerning (affecting) one",
19498,sát thương,"<h1>sát thương</h1><ul><li>Anti-personal<ul style=""list-style-type:circle""><li>Vũ khí sát thương:<i>Anti-personal weapons</i></li></ul></li></ul>",Anti-personal,
19499,sát trùng,<h1>sát trùng</h1><h2>adj</h2><ul><li>antiseptic</li></ul>,adj: antiseptic,
19500,sạt,"<h1>sạt</h1><ul><li>Take off part of<ul style=""list-style-type:circle""><li>Nước lũ phá sạt một mảng đê:<i>Floods blew off part of the dyke</i>-Lose all<br/></li><li>Sạt hết vốn:<i>To lose all one's capital</i>-Whiz past<br/></li><li>Viên đạn sạt qua tai:<i>A bullet whizzed past one's ear</i></li></ul></li></ul>",Take off part of,
19501,sạt nghiệp,"<h1>sạt nghiệp</h1><h2>verb</h2><ul><li>to ruin, to collapse</li></ul>","verb: to ruin, to collapse",
19502,sạt sành,<h1>sạt sành</h1><ul><li>(động vật) Long-horned grasshopper</li></ul>,(động vật) Long-horned grasshopper,
19503,sau,"<h1>sau</h1><h2>conj</h2>-behind, at the back of, hind, rear<br/>-hereinafter, below, following, as follows<br/>",conj: ,
19504,sau chót,<h1>sau chót</h1><ul><li>như sau rốt</li></ul>,như sau rốt,
19505,sau cùng,"<h1>sau cùng</h1><ul><li>After everyone, after everything,last<ul style=""list-style-type:circle""><li>Đến sau cùng:<i>To come last</i></li></ul></li></ul>","After everyone, after everything,last",
19506,sau đây,"<h1>sau đây</h1><ul><li>In the near future<ul style=""list-style-type:circle""><li>Sau đây sẽ có điện trong làng:<i>In the near future there will be electricity in the village</i></li></ul></li><li>Hereinafter, below, following, as follows<ul style=""list-style-type:circle""><li>Những điều kiện sau đây:<i>The following conditions</i></li></ul></li></ul>",In the near future,
19507,sau đó,<h1>sau đó</h1><ul><li>after that</li></ul>,after that,
19508,sau hết,"<h1>sau hết</h1><ul><li>at the end, finally</li></ul>","at the end, finally",
19509,sau lưng,"<h1>sau lưng</h1><h2>adv</h2><ul><li>a back of, behind one's back</li></ul>","adv: a back of, behind one's back",
19510,sau này,"<h1>sau này</h1><h2>adj, adv</h2><ul><li>afterwards, later, in the future</li></ul>","adj, adv: afterwards, later, in the future",
19511,sau nữa,<h1>sau nữa</h1><ul><li>Moreover</li></ul>,Moreover,
19512,sau rốt,"<h1>sau rốt</h1><h2>adj, adv</h2><ul><li>last</li></ul>","adj, adv: last",
19513,sau sau,<h1>sau sau</h1><ul><li>Sweet-gum tree</li></ul>,Sweet-gum tree,
19514,sau xưa,"<h1>sau xưa</h1><ul><li>Before and after, formely and in the future<ul style=""list-style-type:circle""><li>Nói chuyện sau xưa:<i>To tell stories of former and future times</i></li></ul></li></ul>","Before and after, formely and in the future",
19515,sáu,<h1>sáu</h1><h2>number</h2><ul><li>six</li></ul>,number: six,
19516,sáu mươi,<h1>sáu mươi</h1><h2>number</h2>-sixty<br/>,number: ,
19517,say,"<h1>say</h1><h2>adj</h2><ul><li>drunk, intoxicated, high</li><li>sick, prostrate<ul style=""list-style-type:circle""><li>say nắng:<i>sunstroked</i></li></ul></li><li>(như) say mê</li></ul>","adj: drunk, intoxicated, high",
19518,say đắm,<h1>say đắm</h1><h2>verb</h2><ul><li>to dote on</li></ul>,verb: to dote on,
19519,say khướt,<h1>say khướt</h1><ul><li>Be dead drunk</li></ul>,Be dead drunk,
19520,say máu,<h1>say máu</h1><ul><li>Be mad keen on</li></ul>,Be mad keen on,
19521,say mèm,<h1>say mèm</h1><ul><li>Be sozzled; be as drunk as a lord</li></ul>,Be sozzled; be as drunk as a lord,
19522,say mê,<h1>say mê</h1><ul><li>to have a passion for</li></ul>,to have a passion for,
19523,say sưa,<h1>say sưa</h1><ul><li>be in the habit of</li><li>passionately deep</li><li>keep in</li></ul>,be in the habit of,
19524,sảy,"<h1>sảy</h1><ul><li>(như rôm) Prickly heat<ul style=""list-style-type:circle""><li>Mùa hè lắm sảy:<i>To have plenty of prickly heat in summer</i></li><li>Cái sảy nảy cái ung:<i>Little chips light great fires</i></li><li>Winnow (paddy...) by moving up and down a flat basket containing it)</li></ul></li></ul>",(như rôm) Prickly heat,
19525,sắc,"<h1>sắc</h1><h2>noun</h2><ul><li>royal honour-conferring diploma</li><li>temple's exercising charm</li><li>colour#Syn<br/>-(như) sắc_đẹp, dấu_sắc<br/></li></ul><h2>verb</h2><ul><li>to extract, to simmer, to lead down</li></ul><h2>adj</h2><ul><li>sharp</li></ul>",noun: royal honour-conferring diploma,
19526,sắc bén,<h1>sắc bén</h1><h2>adj</h2><ul><li>(như) sắc</li></ul>,adj: (như) sắc,
19527,sắc cạnh,"<h1>sắc cạnh</h1><h2>adj</h2><ul><li>sharp, acute</li></ul>","adj: sharp, acute",
19528,sắc chỉ,<h1>sắc chỉ</h1><h2>adj</h2><ul><li>royal ordinance</li></ul>,adj: royal ordinance,
19529,sắc chiếu,<h1>sắc chiếu</h1><h2>noun</h2><ul><li>royal proclamation</li></ul>,noun: royal proclamation,
19530,sắc diện,<h1>sắc diện</h1><ul><li>như sắc mạo</li></ul>,như sắc mạo,
19531,sắc dục,"<h1>sắc dục</h1><ul><li>Concupiscence, lust</li></ul>","Concupiscence, lust",
19532,sắc đẹp,"<h1>sắc đẹp</h1><h2>noun</h2><ul><li>beauty, glamour</li></ul>","noun: beauty, glamour",
19533,sắc giới,<h1>sắc giới</h1><ul><li>The World of Appearances</li></ul>,The World of Appearances,
19534,sắc lệnh,<h1>sắc lệnh</h1><h2>noun</h2><ul><li>decree</li></ul>,noun: decree,
19535,sắc luật,<h1>sắc luật</h1><ul><li>Decree (which has the force of a law)</li></ul>,Decree (which has the force of a law),
19536,sắc mạo,<h1>sắc mạo</h1><ul><li>(y học) Habitus</li></ul>,(y học) Habitus,
19537,sắc mắc,<h1>sắc mắc</h1><ul><li>xem xắc mắc</li></ul>,xem xắc mắc,
19538,sắc mặt,"<h1>sắc mặt</h1><h2>noun</h2><ul><li>face, complexion countenance</li></ul>","noun: face, complexion countenance",
19539,sắc nước,"<h1>sắc nước</h1><ul><li>Sắc nước hương trời-Beauty<br/>-Sharp<br/><ul style=""list-style-type:circle""><li>Sắc nước cờ:<i>To be sharp at chess</i></li></ul></li></ul>",Sắc nước hương trời,
19540,sắc phong,"<h1>sắc phong</h1><ul><li>Honous, knight</li></ul>","Honous, knight",
19541,sắc phục,<h1>sắc phục</h1><ul><li>(từ cũ) Full dress (of mandarins)</li></ul>,(từ cũ) Full dress (of mandarins),
19542,sắc sảo,"<h1>sắc sảo</h1><h2>adj</h2><ul><li>sharp-witted; fine, sharp</li></ul>","adj: sharp-witted; fine, sharp",
19543,sắc thái,"<h1>sắc thái</h1><h2>noun</h2><ul><li>aspect, colour, colouring shade of meaning, nuance</li></ul>","noun: aspect, colour, colouring shade of meaning, nuance",
19544,sắc tố,<h1>sắc tố</h1><ul><li>(sinh vật) Pigment</li></ul>,(sinh vật) Pigment,
19545,sắc tộc,"<h1>sắc tộc</h1><ul><li>Race, ethnic group</li></ul>","Race, ethnic group",
19546,sắc tứ,<h1>sắc tứ</h1><ul><li>(từ cũ) Bestowed by royal decree</li></ul>,(từ cũ) Bestowed by royal decree,
19547,sặc,<h1>sặc</h1><h2>verb</h2><ul><li>to choke to reek of</li></ul>,verb: to choke to reek of,
19548,sặc gạch,"<h1>sặc gạch</h1><ul><li>(thông tục) Stretch one's powers, be fully stretched<ul style=""list-style-type:circle""><li>Làm sặc gạch mà chưa xong:<i>To stretch one's powers without being able to finish one's job</i></li><li>Đánh cho một trận sặc gạch:<i>To give (someone) a pasting</i></li><li>Bị một trận sặc gạch:<i>To get a pasting</i></li></ul></li><li>Vomit blood</li><li>Very exhausting, very exacting<ul style=""list-style-type:circle""><li>Làm sặc máu:<i>To work in a very exhausting way</i></li><li>Tức sặc máu:<i>Choke with anger, foam with rage</i></li></ul></li></ul>","(thông tục) Stretch one's powers, be fully stretched",
19549,sặc sỡ,"<h1>sặc sỡ</h1><h2>adj</h2><ul><li>gaudy, showy</li></ul>","adj: gaudy, showy",
19550,sặc sụa,"<h1>sặc sụa</h1><h2>adj, adv</h2><ul><li>reeking of; reekingly</li></ul>","adj, adv: reeking of; reekingly",
19551,sặc tiết,<h1>sặc tiết</h1><ul><li>(thông tục) như sặc máu</li></ul>,(thông tục) như sặc máu,
19552,săm,"<h1>săm</h1><h2>noun</h2><ul><li>inner tube, tube</li></ul>","noun: inner tube, tube",
19553,săm lốp,<h1>săm lốp</h1><h2>noun</h2><ul><li>tyre and tube</li></ul>,noun: tyre and tube,
19554,săm soi,<h1>săm soi</h1><ul><li>Take (have) a good look at</li></ul>,Take (have) a good look at,
19555,sắm,"<h1>sắm</h1><h2>verb</h2><ul><li>to go shopping, to shop, to go and buy (get)</li></ul>","verb: to go shopping, to shop, to go and buy (get)",
19556,sắm nắm,<h1>sắm nắm</h1><ul><li>xem xắm nắm</li></ul>,xem xắm nắm,
19557,sắm sanh,"<h1>sắm sanh</h1><ul><li>Go shopping, shop</li></ul>","Go shopping, shop",
19558,sắm sửa,"<h1>sắm sửa</h1><h2>verb</h2><ul><li>to make preparations, to make ready, to prepare</li></ul>","verb: to make preparations, to make ready, to prepare",
19559,sắm vai,"<h1>sắm vai</h1><h2>verb</h2><ul><li>to act, to play role</li></ul>","verb: to act, to play role",
19560,sặm,"<h1>sặm</h1><ul><li>Dark<ul style=""list-style-type:circle""><li>Đỏ sậm:<i>Dark red</i></li></ul></li></ul>",Dark,
19561,sặm màu,<h1>sặm màu</h1><h2>adj</h2><ul><li>dark - coloured</li></ul>,adj: dark - coloured,
19562,săn,"<h1>săn</h1><h2>verb</h2><ul><li>to hunt, to hunt down</li></ul><h2>adj</h2><ul><li>tightly twisted</li><li>shrinking, shrunk</li><li>swift</li></ul>","verb: to hunt, to hunt down",
19563,săn bắn,"<h1>săn bắn</h1><h2>verb</h2><ul><li>to hunt, to go for a hunt</li></ul>","verb: to hunt, to go for a hunt",
19564,săn bắt,<h1>săn bắt</h1><h2>verb</h2><ul><li>to hunt down</li></ul>,verb: to hunt down,
19565,săn đón,"<h1>săn đón</h1><ul><li>Welcome solicitingly<ul style=""list-style-type:circle""><li>Săn đón khách hàng:<i>To welcome solicitingly one's customers</i></li></ul></li></ul>",Welcome solicitingly,
19566,săn đuổi,<h1>săn đuổi</h1><ul><li>Chase</li></ul>,Chase,
19567,săn gân,"<h1>săn gân</h1><ul><li>Sinewy, brawny</li></ul>","Sinewy, brawny",
19568,săn sắt,<h1>săn sắt</h1><ul><li>như cá thia</li></ul>,như cá thia,
19569,săn sóc,"<h1>săn sóc</h1><h2>verb</h2><ul><li>to nurse, to look after</li></ul>","verb: to nurse, to look after",
19570,săn tin,<h1>săn tin</h1><ul><li>Hunt for information</li></ul>,Hunt for information,
19571,sẵn,"<h1>sẵn</h1><h2>adj</h2><ul><li>ready, available</li><li>at hand</li></ul>","adj: ready, available",
19572,sẵn có,<h1>sẵn có</h1><h2>adj</h2><ul><li>(như) sẵn</li></ul>,adj: (như) sẵn,
19573,sẵn dịp,"<h1>sẵn dịp</h1><h2>adv</h2><ul><li>on the occasion of, by the way</li></ul>","adv: on the occasion of, by the way",
19574,sẵn lòng,"<h1>sẵn lòng</h1><h2>verb</h2><ul><li>be willing to, be prepared to</li></ul>","verb: be willing to, be prepared to",
19575,sẵn sàng,"<h1>sẵn sàng</h1><h2>adj</h2><ul><li>ready, prepared willing to</li></ul>","adj: ready, prepared willing to",
19576,sẵn tay,"<h1>sẵn tay</h1><ul><li>At hand, within reach<ul style=""list-style-type:circle""><li>Sẵn tay đưa cho tôi cuốn sách:<i>Please give that book, which is within your reach</i></li></ul></li></ul>","At hand, within reach",
19577,sắn,"<h1>sắn</h1><h2>noun</h2><ul><li>cassava, manioc</li></ul>","noun: cassava, manioc",
19578,sắn bìm,"<h1>sắn bìm</h1><ul><li>Big tree's creeper</li><li>(từ cũ; văn chương) Concubine</li></ul>","Big tree's creeper",
19579,sắn dây,<h1>sắn dây</h1><h2>noun</h2><ul><li>Kudzu</li></ul>,noun: Kudzu,
19580,săng,<h1>săng</h1><h2>noun</h2><ul><li>coffin</li></ul>,noun: coffin,
19581,sằng sặc,<h1>sằng sặc</h1><h2>adv</h2><ul><li>cackling</li></ul>,adv: cackling,
19582,sắp,"<h1>sắp</h1><h2>noun</h2><ul><li>band, group, gang</li></ul><h2>verb</h2><ul><li>to pile, to arrange, to set to keep ready</li></ul><h2>adj</h2><ul><li>forthcoming, about to</li></ul>","noun: band, group, gang",
19583,sắp chữ,<h1>sắp chữ</h1><h2>verb</h2><ul><li>to set types</li></ul>,verb: to set types,
19584,sắp đặt,"<h1>sắp đặt</h1><h2>verb</h2><ul><li>to organize, to arrange</li></ul>","verb: to organize, to arrange",
19585,sắp hàng,"<h1>sắp hàng</h1><h2>verb</h2><ul><li>to line up, to stand in lines</li></ul>","verb: to line up, to stand in lines",
19586,sắp sẵn,"<h1>sắp sẵn</h1><ul><li>Get ready, prepare</li></ul>","Get ready, prepare",
19587,sắp sửa,"<h1>sắp sửa</h1><ul><li>Be about tọ<ul style=""list-style-type:circle""><li>Sắp sửa đi thì trời mưa:<i>To be about to go when it rains</i></li></ul></li><li>Make preparations, make ready<ul style=""list-style-type:circle""><li>Sắp sửa cho đủ trước khi đi:<i>To make full preparations (make everything ready) before leaving</i></li></ul></li></ul>",Be about tọ,
19588,sắp xếp,"<h1>sắp xếp</h1><h2>verb</h2><ul><li>to plan, to arrange (in some way)</li></ul>","verb: to plan, to arrange (in some way)",
19589,sắt,<h1>sắt</h1><h2>noun</h2><ul><li>iron</li></ul><h2>adj</h2><ul><li>firm</li><li>wrung with pain</li></ul>,noun: iron,
19590,sắt cầm,<h1>sắt cầm</h1><ul><li>(từ cũ) xem cầm sắt</li></ul>,(từ cũ) xem cầm sắt,
19591,sắt đá,"<h1>sắt đá</h1><ul><li>Iron and stone, iron<ul style=""list-style-type:circle""><li>ý chí sắt đá:<i>Iron will</i></li></ul></li></ul>","Iron and stone, iron",
19592,sắt son,<h1>sắt son</h1><h2>adj</h2><ul><li>constant</li></ul>,adj: constant,
19593,sắt tây,<h1>sắt tây</h1><h2>noun</h2><ul><li>tin</li></ul>,noun: tin,
19594,sắt thép,<h1>sắt thép</h1><ul><li>Iron and steel</li></ul>,Iron and steel,
19595,sắt vụn,<h1>sắt vụn</h1><ul><li>Scap-iron</li></ul>,Scap-iron,
19596,sặt,<h1>sặt</h1><ul><li>Cane brake (cây)</li><li>(địa phương) Arrow</li></ul>,Cane brake (cây),
19597,sâm,<h1>sâm</h1><h2>noun</h2><ul><li>ginseng</li></ul>,noun: ginseng,
19598,sâm banh,<h1>sâm banh</h1><h2>noun</h2>-champagne<br/>,noun: ,
19599,sâm cầm,<h1>sâm cầm</h1><h2>noun</h2><ul><li>black coot</li></ul>,noun: black coot,
19600,sâm nghiêm,"<h1>sâm nghiêm</h1><ul><li>(từ cũ) Decorous and quiet<ul style=""list-style-type:circle""><li>Nhà cửa sâm nghiêm:<i>Decorous and quiet house</i></li></ul></li></ul>",(từ cũ) Decorous and quiet,
19601,sâm nhung,<h1>sâm nhung</h1><ul><li>Ginseng and buidding antler; strong tonics</li></ul>,Ginseng and buidding antler; strong tonics,
19602,sâm sẩm,<h1>sâm sẩm</h1><ul><li>xem sẩm (láy)</li></ul>,xem sẩm (láy),
19603,sâm si,"<h1>sâm si</h1><ul><li>Be slightly different, differ slightly<ul style=""list-style-type:circle""><li>Giá gạo các nơi sâm si nhau:<i>The prices of rice in various places differ slightly</i></li></ul></li></ul>","Be slightly different, differ slightly",
19604,sâm thương,<h1>sâm thương</h1><ul><li>Sâm thương đôi ngả-Their paths never cross<br/></li></ul>,Sâm thương đôi ngả,
19605,sầm,"<h1>sầm</h1><h2>adv</h2><ul><li>bang, slam</li></ul><h2>verb</h2><ul><li>to darken, to cloud over</li></ul>","adv: bang, slam",
19606,sầm sầm,<h1>sầm sầm</h1><ul><li>xem sầm (láy)</li></ul>,xem sầm (láy),
19607,sầm sập,<h1>sầm sập</h1><ul><li>xem sập</li></ul>,xem sập,
19608,sầm uất,"<h1>sầm uất</h1><h2>adj</h2><ul><li>grown with luxuriant vegetation</li><li>crowded, busy</li></ul>",adj: grown with luxuriant vegetation,
19609,sẩm,"<h1>sẩm</h1><ul><li>Dusk#Syn<br/></li><li>Sẩm_tối<ul style=""list-style-type:circle""><li>Đến sẩm tối hãy lên đèn:<i>To light up only at dusk</i></li><li>Sâm sẩm (láy):<i>Nightfall</i></li></ul></li></ul>",Dusk,
19610,sẩm tối,"<h1>sẩm tối</h1><h2>noun</h2>-dark, dusk<br/>",noun: ,
19611,sẫm,<h1>sẫm</h1><h2>adj</h2><ul><li>dark</li></ul>,adj: dark,
19612,sấm,"<h1>sấm</h1><h2>noun</h2><ul><li>prophecy, oracle</li><li>thunder</li></ul>","noun: prophecy, oracle",
19613,sấm ngôn,<h1>sấm ngôn</h1><h2>noun</h2><ul><li>prophetic saying</li></ul>,noun: prophetic saying,
19614,sấm ngữ,<h1>sấm ngữ</h1><ul><li>như sấm ngôn</li></ul>,như sấm ngôn,
19615,sấm sét,<h1>sấm sét</h1><h2>noun</h2><ul><li>thunder and thunderbolt</li></ul><h2>adj</h2><ul><li>thunderlike</li></ul>,noun: thunder and thunderbolt,
19616,sấm truyền,<h1>sấm truyền</h1><ul><li>As prophesies</li></ul>,As prophesies,
19617,sậm,"<h1>sậm</h1><ul><li>Dark<ul style=""list-style-type:circle""><li>Đỏ sậm:<i>Dark red</i></li></ul></li></ul>",Dark,
19618,sậm màu,<h1>sậm màu</h1><ul><li>Of dark colour</li></ul>,Of dark colour,
19619,sậm sựt,<h1>sậm sựt</h1><h2>adv</h2><ul><li>crunchingly</li></ul>,adv: crunchingly,
19620,sân,"<h1>sân</h1><h2>noun</h2><ul><li>yard, courtyard, court</li><li>ground, course</li></ul>","noun: yard, courtyard, court",
19621,sân bay,<h1>sân bay</h1><h2>noun</h2><ul><li>airport</li></ul>,noun: airport,
19622,sân bóng,"<h1>sân bóng</h1><h2>noun</h2>-football ground, pitch<br/>",noun: ,
19623,sân chơi,<h1>sân chơi</h1><ul><li>Playground</li></ul>,Playground,
19624,sân cỏ,<h1>sân cỏ</h1><h2>noun</h2><ul><li>football ground</li></ul>,noun: football ground,
19625,sân gác,"<h1>sân gác</h1><ul><li>Flat roof, sun roof</li></ul>","Flat roof, sun roof",
19626,sân hòe,<h1>sân hòe</h1><ul><li>(từ cũ; văn chương) Brothers of the same family</li></ul>,(từ cũ; văn chương) Brothers of the same family,
19627,sân khấu,<h1>sân khấu</h1><h2>noun</h2><ul><li>stage</li></ul>,noun: stage,
19628,sân lai,<h1>sân lai</h1><ul><li>(từ cũ; văn chương) Parents</li></ul>,(từ cũ; văn chương) Parents,
19629,sân phơi,<h1>sân phơi</h1><ul><li>Drying ground</li></ul>,Drying ground,
19630,sân rồng,<h1>sân rồng</h1><ul><li>Court in front of the royal palace</li></ul>,Court in front of the royal palace,
19631,sân sau,<h1>sân sau</h1><ul><li>Backyard</li></ul>,Backyard,
19632,sân si,<h1>sân si</h1><h2>verb</h2><ul><li>to rush in; to fly into a temper</li></ul>,verb: to rush in; to fly into a temper,
19633,sân sướng,"<h1>sân sướng</h1><ul><li>Yard (nói chung)<ul style=""list-style-type:circle""><li>Sân sướng nhiều rác rưởi quá:<i>There is too much rubish in the yard</i></li></ul></li></ul>",Yard (nói chung),
19634,sân thượng,<h1>sân thượng</h1><ul><li>Terrace</li></ul>,Terrace,
19635,sân vận động,<h1>sân vận động</h1><h2>noun</h2><ul><li>stadium</li></ul>,noun: stadium,
19636,sần,"<h1>sần</h1><h2>adj</h2><ul><li>lumpy, full of pustules</li></ul>","adj: lumpy, full of pustules",
19637,sần mặt,"<h1>sần mặt</h1><ul><li>Lumpy<ul style=""list-style-type:circle""><li>Vải sần mặt:<i>Lumpy cloth</i></li></ul></li><li>Shamefaced</li></ul>",Lumpy,
19638,sần sật,<h1>sần sật</h1><ul><li>Crunchy</li></ul>,Crunchy,
19639,sần sùi,<h1>sần sùi</h1><h2>adj</h2><ul><li>lumpy</li></ul>,adj: lumpy,
19640,sẩn,<h1>sẩn</h1><h2>adj</h2><ul><li>pustular coarse</li></ul>,adj: pustular coarse,
19641,sấn,"<h1>sấn</h1><h2>verb</h2><ul><li>to rush at, to rush headlong at</li></ul>","verb: to rush at, to rush headlong at",
19642,sấn sổ,<h1>sấn sổ</h1><h2>verb</h2><ul><li>to rush violently at</li></ul>,verb: to rush violently at,
19643,sấp,<h1>sấp</h1><h2>adj</h2><ul><li>prone</li><li>reverse</li></ul>,adj: prone,
19644,sấp bóng,"<h1>sấp bóng</h1><ul><li>With one's back to the light<ul style=""list-style-type:circle""><li>Ngồi sấp bóng khó đọc:<i>It is hard to read when one sits with one's back to the light</i></li></ul></li></ul>","With one's back to the light",
19645,sấp mặt,"<h1>sấp mặt</h1><h2>adj</h2><ul><li>shifty, double-faced</li></ul>","adj: shifty, double-faced",
19646,sấp ngửa,<h1>sấp ngửa</h1><h2>noun</h2><ul><li>head and tail</li></ul>,noun: head and tail,
19647,sập,<h1>sập</h1><h2>verb</h2><ul><li>to collapse to bang shut</li></ul>,verb: to collapse to bang shut,
19648,sập sùi,"<h1>sập sùi</h1><ul><li>Intermittent<ul style=""list-style-type:circle""><li>Mưa sập sùi:<i>It rains intermittently</i></li></ul></li></ul>",Intermittent,
19649,sất,"<h1>sất</h1><ul><li>(particle of emphasis) [Nothing] at all<ul style=""list-style-type:circle""><li>Chẳng có gì sất:<i>There is nothing at all</i></li></ul></li></ul>",(particle of emphasis) [Nothing] at all,
19650,sật,"<h1>sật</h1><ul><li>Crunch<ul style=""list-style-type:circle""><li>Cậu ta cắn quả táo nghe sật một tiếng:<i>There was a crunch as he bit an apple</i></li></ul></li></ul>",Crunch,
19651,sâu,"<h1>sâu</h1><h2>noun</h2><ul><li>insect, pest</li><li>decay</li></ul><h2>adj</h2><ul><li>deep</li><li>profound</li><li>sound</li></ul>","noun: insect, pest",
19652,sâu bệnh,"<h1>sâu bệnh</h1><ul><li>Pest, insect<ul style=""list-style-type:circle""><li>Thuốc trừ sâu bệnh:<i>Insecticides, perticides</i></li></ul></li></ul>","Pest, insect",
19653,sâu bọ,<h1>sâu bọ</h1><ul><li>Insect#Syn<br/></li><li>cũng như côn trùng</li></ul>,Insect,
19654,sâu cay,<h1>sâu cay</h1><h2>adj</h2><ul><li>bitter</li></ul>,adj: bitter,
19655,sâu đậm,"<h1>sâu đậm</h1><ul><li>Deepfelt, profound<ul style=""list-style-type:circle""><li>Tình cảm sâu đậm:<i>Deepfelt sentiments, deepfelt feelings</i></li></ul></li></ul>","Deepfelt, profound",
19656,sâu độc,"<h1>sâu độc</h1><h2>adj</h2><ul><li>fiendish, wicked</li></ul>","adj: fiendish, wicked",
19657,sâu hiểm,<h1>sâu hiểm</h1><ul><li>Devilish</li></ul>,Devilish,
19658,sâu hoắm,"<h1>sâu hoắm</h1><ul><li>Very deep<ul style=""list-style-type:circle""><li>Vực sâu hoắm:<i>A very deep gulf</i></li></ul></li></ul>",Very deep,
19659,sâu kín,<h1>sâu kín</h1><h2>adj</h2><ul><li>deep (tình cảm)</li></ul>,adj: deep (tình cảm),
19660,sâu lắng,"<h1>sâu lắng</h1><ul><li>Profound, deep-lying</li></ul>","Profound, deep-lying",
19661,sâu mọt,<h1>sâu mọt</h1><h2>noun</h2><ul><li>parasite</li></ul>,noun: parasite,
19662,sâu nặng,"<h1>sâu nặng</h1><ul><li>Deep, deep-rooted<ul style=""list-style-type:circle""><li>Tình cảm sâu nặng:<i>Deep-rooted feelings, deep-rooted sentiments</i></li></ul></li></ul>","Deep, deep-rooted",
19663,sâu quảng,<h1>sâu quảng</h1><ul><li>Phagedaena</li></ul>,Phagedaena,
19664,sâu răng,<h1>sâu răng</h1><ul><li>Dental caries</li></ul>,Dental caries,
19665,sâu róm,<h1>sâu róm</h1><h2>noun</h2><ul><li>caterpillar</li></ul>,noun: caterpillar,
19666,sâu rộng,"<h1>sâu rộng</h1><ul><li>Wide and deep<ul style=""list-style-type:circle""><li>Trí thức sâu rộng:<i>Wide and deep knowledge</i></li></ul></li></ul>",Wide and deep,
19667,sâu rượu,<h1>sâu rượu</h1><ul><li>(thông tục) Winebibber</li></ul>,(thông tục) Winebibber,
19668,sâu sát,"<h1>sâu sát</h1><ul><li>Having a deep understanding of, in very close touch with</li></ul>","Having a deep understanding of, in very close touch with",
19669,sâu sắc,<h1>sâu sắc</h1><h2>adj</h2><ul><li>profound</li></ul>,adj: profound,
19670,sâu thẳm,"<h1>sâu thẳm</h1><ul><li>Very profound, very deep</li></ul>","Very profound, very deep",
19671,sâu xa,"<h1>sâu xa</h1><ul><li>Profound, deep; far-reaching<ul style=""list-style-type:circle""><li>Tư tưởng sâu xa:<i>A deep thought</i></li></ul></li></ul>","Profound, deep; far-reaching",
19672,sầu,"<h1>sầu</h1><h2>adj</h2><ul><li>sad, melancholy</li></ul>","adj: sad, melancholy",
19673,sầu bi,"<h1>sầu bi</h1><ul><li>Sad<ul style=""list-style-type:circle""><li>Câu chuyện sầu bi:<i>A sad story</i></li></ul></li></ul>",Sad,
19674,sầu đâu,<h1>sầu đâu</h1><ul><li>(địa phương) China tree</li></ul>,(địa phương) China tree,
